date,dom,user-action,session-Id,total-balance,account-from,main-savings-balance,main-savings-status,next-action,current-state-features,next-state-features
2024-01-01 06:07:51.743805,1,Dashboard,b5b7bce5-3d79-4acf-a970-db959a2d58b6,1651808.0,,335112.0,POSITIVE,Account_Details,1:Dashboard:POSITIVE,1:Account_Details:FLAT
2024-01-01 06:58:51.743805,1,Account_Details,b5b7bce5-3d79-4acf-a970-db959a2d58b6,1651808.0,,335112.0,FLAT,Transaction_Historical,1:Account_Details:FLAT,1:Transaction_Historical:FLAT
2024-01-01 06:59:51.743805,1,Transaction_Historical,b5b7bce5-3d79-4acf-a970-db959a2d58b6,1651808.0,,335112.0,FLAT,Dashboard,1:Transaction_Historical:FLAT,1:Dashboard:FLAT
2024-01-01 13:52:10.298082,1,Dashboard,2de52e0d-6ff9-4ae6-9084-3febf6d5ca16,1651808.0,,335112.0,FLAT,Dashboard,1:Dashboard:FLAT,1:Dashboard:FLAT
2024-01-01 18:07:49.691923,1,Dashboard,d2620b78-cda1-4778-aecd-7126c8293821,1651808.0,,335112.0,FLAT,Account_Details,1:Dashboard:FLAT,1:Account_Details:FLAT
2024-01-01 18:40:49.691923,1,Account_Details,d2620b78-cda1-4778-aecd-7126c8293821,1651808.0,,335112.0,FLAT,Transaction_Historical,1:Account_Details:FLAT,1:Transaction_Historical:FLAT
2024-01-01 18:58:49.691923,1,Transaction_Historical,d2620b78-cda1-4778-aecd-7126c8293821,1651808.0,,335112.0,FLAT,Dashboard,1:Transaction_Historical:FLAT,1:Dashboard:FLAT
2024-01-01 19:07:22.127316,1,Dashboard,1ab5c6cd-65de-41c5-a520-ee2e255234e6,1651808.0,,335112.0,FLAT,Account_Details,1:Dashboard:FLAT,1:Account_Details:FLAT
2024-01-01 19:36:22.127316,1,Account_Details,1ab5c6cd-65de-41c5-a520-ee2e255234e6,1651808.0,,335112.0,FLAT,Dashboard,1:Account_Details:FLAT,1:Dashboard:FLAT
2024-01-01 22:46:17.027724,1,Dashboard,fd9b3f3f-572d-4b77-a15d-908dc3c2fce7,1651808.0,,335112.0,FLAT,Dashboard,1:Dashboard:FLAT,2:Dashboard:FLAT
2024-01-02 08:08:17.455747,2,Dashboard,3a4c4630-5f1c-4312-864a-53ac9060b8f1,1651808.0,,335112.0,FLAT,Account_Details,2:Dashboard:FLAT,2:Account_Details:FLAT
